Pet_ID,Pet_Type,Owner_Name,Procedure,Cost_Per_Treatment,Repeat_Seen,Consultation_Time_Minutes,Date_of_Treatment,Referral_Source,Diagnosis,Main_Condition,Visits_Count,Total_Income
PET0371,Bird,Owner_4,Neutering,293,True,26,2025-01-23,Online Booking,Skin Infection,Preventative Care,4,1172
PET0210,Bird,Owner_188,Surgery,881,False,19,2025-01-25,Referred by Vet,Arthritis,Genetic Disorder,5,4405
PET0267,Rabbit,Owner_193,Vaccination,554,True,26,2025-02-12,Online Booking,Ear Infection,Behavioral Issue,5,2770
PET0937,Cat,Owner_24,Surgery,180,True,29,2025-02-13,Referred by Vet,Skin Infection,Trauma,5,900
PET0649,Bird,Owner_200,Dental Cleaning,534,True,33,2025-03-28,Referred by Vet,Obesity,Chronic Disease,3,1602
PET0610,Dog,Owner_96,Deworming,868,False,14,2025-03-03,Emergency,Obesity,Infectious Disease,4,3472
PET0172,Cat,Owner_49,Neutering,696,False,43,2025-03-02,Online Booking,Skin Infection,Infectious Disease,3,2088
PET0730,Cat,Owner_121,Neutering,70,False,15,2025-01-05,Walk-in,Dental Disease,Genetic Disorder,1,70
PET0164,Rabbit,Owner_41,Dental Cleaning,890,False,11,2025-03-24,Online Booking,Parvovirus,Genetic Disorder,5,4450
PET0380,Cat,Owner_184,Neutering,216,False,22,2025-01-18,Referred by Vet,Parvovirus,Behavioral Issue,3,648
PET0990,Bird,Owner_111,Dental Cleaning,323,True,52,2025-03-03,Walk-in,Parvovirus,Trauma,3,969
PET0640,Dog,Owner_156,Dental Cleaning,437,False,52,2025-01-20,Referred by Vet,Parvovirus,Chronic Disease,1,437
PET0557,Dog,Owner_77,Vaccination,650,True,57,2025-03-22,Referred by Vet,Ear Infection,Infectious Disease,2,1300
PET0685,Rabbit,Owner_107,Checkup,365,True,20,2025-02-28,Online Booking,Ear Infection,Trauma,4,1460
PET0843,Dog,Owner_72,Checkup,63,True,56,2025-03-10,Emergency,Dental Disease,Behavioral Issue,2,126
PET0776,Cat,Owner_53,Vaccination,291,True,32,2025-02-12,Online Booking,Arthritis,Trauma,5,1455
PET0230,Rabbit,Owner_103,Neutering,826,False,25,2025-03-01,Online Booking,Arthritis,Chronic Disease,3,2478
PET0033,Rabbit,Owner_100,Surgery,395,False,40,2025-02-22,Walk-in,Skin Infection,Genetic Disorder,1,395
PET0316,Cat,Owner_20,Deworming,614,False,20,2025-01-08,Online Booking,Arthritis,Chronic Disease,1,614
PET0268,Bird,Owner_197,Surgery,947,True,25,2025-03-08,Emergency,Obesity,Behavioral Issue,4,3788
PET0211,Rabbit,Owner_94,Surgery,389,False,17,2025-02-08,Walk-in,Dental Disease,Genetic Disorder,2,778
PET0943,Cat,Owner_168,Deworming,141,True,13,2025-03-14,Online Booking,Dental Disease,Genetic Disorder,4,564
PET0877,Rabbit,Owner_183,Checkup,416,True,49,2025-03-28,Emergency,Skin Infection,Chronic Disease,3,1248
PET0315,Dog,Owner_75,Neutering,504,True,13,2025-02-10,Online Booking,Skin Infection,Chronic Disease,4,2016
PET0656,Rabbit,Owner_83,Surgery,477,False,34,2025-03-13,Walk-in,Parvovirus,Trauma,1,477
PET0396,Bird,Owner_113,Deworming,558,True,12,2025-03-10,Referred by Vet,Parvovirus,Infectious Disease,1,558
PET0915,Rabbit,Owner_45,Neutering,825,True,41,2025-01-03,Emergency,Parvovirus,Chronic Disease,5,4125
PET0459,Bird,Owner_30,Deworming,992,True,12,2025-01-27,Referred by Vet,Obesity,Preventative Care,5,4960
PET0265,Rabbit,Owner_53,Neutering,84,True,36,2025-03-15,Walk-in,Ear Infection,Chronic Disease,3,252
PET0247,Dog,Owner_187,Vaccination,255,True,38,2025-03-29,Emergency,Skin Infection,Chronic Disease,2,510
PET0562,Cat,Owner_116,Deworming,130,True,41,2025-02-12,Walk-in,Ear Infection,Preventative Care,4,520
PET0263,Dog,Owner_84,Checkup,981,False,59,2025-02-15,Emergency,Arthritis,Behavioral Issue,3,2943
PET0585,Cat,Owner_31,Surgery,611,False,28,2025-01-09,Walk-in,Dental Disease,Infectious Disease,5,3055
PET0898,Cat,Owner_66,Deworming,921,False,30,2025-01-20,Online Booking,Arthritis,Chronic Disease,4,3684
PET0400,Cat,Owner_76,Checkup,437,False,14,2025-02-05,Walk-in,Ear Infection,Trauma,5,2185
PET0220,Dog,Owner_167,Checkup,51,False,27,2025-01-04,Walk-in,Parvovirus,Chronic Disease,4,204
PET0998,Cat,Owner_100,Surgery,439,False,37,2025-02-13,Referred by Vet,Parvovirus,Trauma,2,878
PET0510,Rabbit,Owner_131,Vaccination,615,False,51,2025-02-18,Online Booking,Arthritis,Chronic Disease,3,1845
PET0091,Cat,Owner_137,Checkup,155,False,31,2025-03-22,Emergency,Obesity,Trauma,4,620
PET0048,Dog,Owner_52,Dental Cleaning,821,True,30,2025-03-10,Online Booking,Ear Infection,Trauma,1,821
PET0110,Bird,Owner_165,Deworming,871,True,15,2025-01-22,Walk-in,Ear Infection,Infectious Disease,1,871
PET0628,Dog,Owner_194,Deworming,526,False,10,2025-03-15,Emergency,Obesity,Genetic Disorder,4,2104
PET0793,Bird,Owner_129,Checkup,752,False,14,2025-03-19,Walk-in,Arthritis,Preventative Care,4,3008
PET0423,Dog,Owner_99,Vaccination,451,True,50,2025-02-19,Referred by Vet,Arthritis,Trauma,4,1804
PET0064,Dog,Owner_34,Neutering,779,True,21,2025-01-24,Referred by Vet,Dental Disease,Infectious Disease,1,779
PET0382,Rabbit,Owner_159,Deworming,605,False,35,2025-03-18,Emergency,Skin Infection,Chronic Disease,1,605
PET0997,Bird,Owner_34,Neutering,211,False,55,2025-01-15,Referred by Vet,Skin Infection,Chronic Disease,4,844
PET0530,Rabbit,Owner_145,Deworming,251,True,43,2025-02-09,Walk-in,Arthritis,Preventative Care,5,1255
PET0972,Rabbit,Owner_98,Surgery,319,True,58,2025-02-10,Referred by Vet,Arthritis,Behavioral Issue,5,1595
PET0861,Rabbit,Owner_184,Deworming,912,True,23,2025-01-05,Referred by Vet,Obesity,Infectious Disease,2,1824
PET0012,Cat,Owner_109,Dental Cleaning,865,True,35,2025-02-04,Emergency,Obesity,Preventative Care,3,2595
PET0721,Dog,Owner_129,Deworming,320,True,54,2025-02-22,Walk-in,Skin Infection,Behavioral Issue,5,1600
PET0682,Cat,Owner_12,Deworming,505,True,36,2025-01-12,Emergency,Obesity,Behavioral Issue,1,505
PET0537,Rabbit,Owner_7,Vaccination,511,False,18,2025-03-05,Emergency,Arthritis,Chronic Disease,5,2555
PET0267,Bird,Owner_170,Neutering,776,False,35,2025-01-31,Emergency,Skin Infection,Behavioral Issue,2,1552
PET0641,Bird,Owner_190,Neutering,301,True,56,2025-02-17,Referred by Vet,Dental Disease,Preventative Care,2,602
PET0112,Rabbit,Owner_134,Dental Cleaning,751,True,31,2025-02-27,Emergency,Parvovirus,Behavioral Issue,3,2253
PET0435,Bird,Owner_153,Dental Cleaning,345,False,56,2025-02-08,Online Booking,Ear Infection,Genetic Disorder,5,1725
PET0454,Rabbit,Owner_83,Neutering,774,False,39,2025-01-28,Online Booking,Skin Infection,Genetic Disorder,1,774
PET0954,Cat,Owner_169,Deworming,769,False,52,2025-03-09,Online Booking,Skin Infection,Behavioral Issue,1,769
PET0876,Rabbit,Owner_47,Checkup,798,True,57,2025-02-08,Online Booking,Skin Infection,Genetic Disorder,4,3192
PET0264,Dog,Owner_142,Surgery,387,True,26,2025-01-23,Walk-in,Ear Infection,Chronic Disease,1,387
PET0501,Rabbit,Owner_2,Surgery,928,True,35,2025-01-15,Online Booking,Skin Infection,Preventative Care,3,2784
PET0179,Dog,Owner_102,Neutering,102,False,45,2025-02-17,Referred by Vet,Obesity,Behavioral Issue,3,306
PET0913,Dog,Owner_75,Neutering,841,False,10,2025-01-05,Walk-in,Parvovirus,Chronic Disease,1,841
PET0871,Bird,Owner_124,Vaccination,971,True,17,2025-01-26,Online Booking,Dental Disease,Behavioral Issue,1,971
PET0299,Cat,Owner_134,Surgery,266,False,58,2025-01-12,Referred by Vet,Dental Disease,Trauma,4,1064
PET0639,Bird,Owner_124,Checkup,813,True,44,2025-02-26,Online Booking,Skin Infection,Trauma,1,813
PET0609,Rabbit,Owner_97,Deworming,237,False,24,2025-03-06,Walk-in,Dental Disease,Preventative Care,4,948
PET0153,Bird,Owner_98,Deworming,429,True,56,2025-01-04,Referred by Vet,Dental Disease,Preventative Care,4,1716
PET0763,Bird,Owner_2,Surgery,542,False,31,2025-03-03,Emergency,Ear Infection,Trauma,1,542
PET0540,Bird,Owner_111,Vaccination,90,False,23,2025-03-06,Referred by Vet,Skin Infection,Preventative Care,2,180
PET0779,Bird,Owner_3,Dental Cleaning,206,True,35,2025-01-20,Online Booking,Arthritis,Chronic Disease,2,412
PET0531,Rabbit,Owner_106,Surgery,64,True,37,2025-01-25,Emergency,Ear Infection,Preventative Care,4,256
PET0001,Rabbit,Owner_55,Neutering,862,True,32,2025-02-13,Emergency,Arthritis,Behavioral Issue,1,862
PET0325,Dog,Owner_196,Neutering,114,True,23,2025-03-03,Referred by Vet,Parvovirus,Chronic Disease,2,228
PET0020,Bird,Owner_4,Neutering,906,True,33,2025-03-09,Online Booking,Dental Disease,Preventative Care,1,906
PET0930,Bird,Owner_163,Neutering,888,False,11,2025-02-09,Emergency,Obesity,Behavioral Issue,1,888
PET0879,Cat,Owner_135,Surgery,570,False,54,2025-02-11,Walk-in,Ear Infection,Chronic Disease,1,570
PET0832,Dog,Owner_162,Vaccination,393,False,35,2025-01-19,Referred by Vet,Obesity,Genetic Disorder,5,1965
PET0308,Rabbit,Owner_182,Dental Cleaning,178,False,23,2025-01-13,Referred by Vet,Obesity,Genetic Disorder,1,178
PET0058,Cat,Owner_22,Vaccination,697,False,16,2025-03-08,Emergency,Obesity,Preventative Care,5,3485
PET0879,Cat,Owner_20,Surgery,521,False,12,2025-03-28,Referred by Vet,Obesity,Infectious Disease,4,2084
PET0947,Dog,Owner_30,Checkup,112,False,56,2025-01-17,Walk-in,Obesity,Trauma,2,224
PET0086,Bird,Owner_39,Vaccination,188,False,32,2025-01-27,Online Booking,Ear Infection,Chronic Disease,2,376
PET0486,Rabbit,Owner_106,Deworming,548,False,55,2025-01-05,Walk-in,Arthritis,Infectious Disease,2,1096
PET0070,Cat,Owner_164,Dental Cleaning,642,False,52,2025-02-28,Online Booking,Dental Disease,Chronic Disease,2,1284
PET0761,Dog,Owner_54,Dental Cleaning,441,False,56,2025-02-19,Emergency,Obesity,Infectious Disease,2,882
PET0766,Rabbit,Owner_80,Checkup,724,False,54,2025-03-08,Referred by Vet,Obesity,Behavioral Issue,2,1448
PET0129,Dog,Owner_75,Deworming,468,True,27,2025-01-15,Referred by Vet,Parvovirus,Preventative Care,2,936
PET0476,Rabbit,Owner_82,Deworming,338,True,47,2025-01-01,Emergency,Dental Disease,Behavioral Issue,4,1352
PET0550,Dog,Owner_114,Vaccination,428,False,44,2025-02-09,Referred by Vet,Arthritis,Genetic Disorder,1,428
PET0266,Cat,Owner_199,Checkup,822,True,24,2025-01-06,Emergency,Parvovirus,Chronic Disease,3,2466
PET0873,Cat,Owner_46,Dental Cleaning,539,True,34,2025-03-29,Emergency,Skin Infection,Chronic Disease,5,2695
PET0424,Cat,Owner_137,Dental Cleaning,280,True,46,2025-03-18,Online Booking,Ear Infection,Preventative Care,3,840
PET0212,Rabbit,Owner_170,Neutering,90,False,37,2025-01-12,Referred by Vet,Dental Disease,Genetic Disorder,3,270
PET0540,Bird,Owner_131,Checkup,77,False,19,2025-02-12,Referred by Vet,Dental Disease,Preventative Care,1,77
PET0730,Rabbit,Owner_172,Vaccination,184,False,48,2025-03-01,Walk-in,Parvovirus,Behavioral Issue,1,184
PET0202,Dog,Owner_152,Deworming,250,True,26,2025-01-06,Online Booking,Parvovirus,Preventative Care,1,250
PET0312,Dog,Owner_19,Vaccination,889,True,48,2025-01-14,Walk-in,Ear Infection,Chronic Disease,2,1778
PET0996,Dog,Owner_76,Deworming,829,False,31,2025-03-08,Referred by Vet,Skin Infection,Infectious Disease,4,3316
PET0650,Rabbit,Owner_111,Neutering,979,False,35,2025-03-26,Referred by Vet,Parvovirus,Behavioral Issue,2,1958
PET0439,Rabbit,Owner_12,Checkup,82,True,53,2025-02-09,Online Booking,Obesity,Chronic Disease,4,328
PET0518,Cat,Owner_2,Dental Cleaning,97,False,34,2025-01-03,Online Booking,Ear Infection,Chronic Disease,4,388
PET0122,Rabbit,Owner_35,Neutering,552,True,26,2025-03-15,Walk-in,Parvovirus,Preventative Care,3,1656
PET0225,Cat,Owner_100,Surgery,456,True,22,2025-02-09,Referred by Vet,Parvovirus,Behavioral Issue,3,1368
PET0339,Cat,Owner_87,Dental Cleaning,623,False,29,2025-03-23,Referred by Vet,Skin Infection,Preventative Care,4,2492
PET0589,Cat,Owner_157,Dental Cleaning,777,False,34,2025-01-27,Walk-in,Arthritis,Chronic Disease,4,3108
PET0231,Bird,Owner_114,Checkup,854,True,13,2025-02-11,Online Booking,Parvovirus,Genetic Disorder,2,1708
PET0221,Dog,Owner_172,Checkup,148,False,19,2025-01-26,Emergency,Dental Disease,Genetic Disorder,2,296
PET0071,Cat,Owner_20,Checkup,733,True,12,2025-01-25,Referred by Vet,Dental Disease,Preventative Care,3,2199
PET0632,Cat,Owner_106,Deworming,921,True,50,2025-02-06,Online Booking,Skin Infection,Trauma,1,921
PET0229,Rabbit,Owner_9,Checkup,775,False,54,2025-02-05,Online Booking,Skin Infection,Chronic Disease,4,3100
PET0906,Cat,Owner_43,Surgery,596,True,27,2025-03-10,Emergency,Parvovirus,Trauma,2,1192
PET0860,Rabbit,Owner_174,Vaccination,788,False,56,2025-02-10,Emergency,Ear Infection,Infectious Disease,3,2364
PET0071,Dog,Owner_178,Dental Cleaning,662,False,45,2025-02-26,Walk-in,Dental Disease,Behavioral Issue,2,1324
PET0239,Cat,Owner_96,Surgery,992,False,56,2025-03-27,Walk-in,Parvovirus,Infectious Disease,4,3968
PET0669,Rabbit,Owner_10,Vaccination,511,True,31,2025-01-16,Walk-in,Obesity,Chronic Disease,4,2044
PET0215,Dog,Owner_15,Deworming,692,True,43,2025-02-04,Referred by Vet,Arthritis,Preventative Care,5,3460
PET0133,Cat,Owner_186,Deworming,818,False,56,2025-01-20,Walk-in,Obesity,Infectious Disease,1,818
PET0936,Dog,Owner_180,Vaccination,54,False,17,2025-01-21,Referred by Vet,Obesity,Chronic Disease,5,270
PET0572,Dog,Owner_113,Dental Cleaning,267,True,49,2025-02-05,Walk-in,Ear Infection,Infectious Disease,3,801
PET0473,Cat,Owner_7,Checkup,552,True,58,2025-01-15,Emergency,Skin Infection,Preventative Care,2,1104
PET0785,Cat,Owner_186,Deworming,816,True,53,2025-01-02,Walk-in,Skin Infection,Genetic Disorder,3,2448
PET0808,Dog,Owner_63,Dental Cleaning,447,False,28,2025-03-21,Referred by Vet,Ear Infection,Behavioral Issue,4,1788
PET0191,Rabbit,Owner_193,Neutering,920,True,51,2025-03-13,Referred by Vet,Parvovirus,Chronic Disease,5,4600
PET0097,Dog,Owner_118,Deworming,844,True,50,2025-03-07,Referred by Vet,Parvovirus,Infectious Disease,5,4220
PET0432,Cat,Owner_151,Checkup,442,False,46,2025-01-14,Emergency,Arthritis,Genetic Disorder,5,2210
PET0424,Rabbit,Owner_143,Dental Cleaning,256,False,15,2025-01-27,Walk-in,Obesity,Chronic Disease,3,768
PET0468,Rabbit,Owner_80,Checkup,64,False,35,2025-03-11,Referred by Vet,Ear Infection,Genetic Disorder,4,256
PET0730,Bird,Owner_16,Surgery,907,False,43,2025-02-14,Online Booking,Obesity,Chronic Disease,2,1814
PET0674,Bird,Owner_33,Surgery,603,False,54,2025-03-12,Referred by Vet,Parvovirus,Chronic Disease,2,1206
PET0985,Dog,Owner_49,Vaccination,941,False,15,2025-02-10,Referred by Vet,Parvovirus,Chronic Disease,3,2823
PET0099,Bird,Owner_167,Vaccination,510,True,46,2025-02-04,Walk-in,Arthritis,Chronic Disease,5,2550
PET0403,Dog,Owner_78,Neutering,740,True,42,2025-01-19,Referred by Vet,Ear Infection,Trauma,1,740
PET0340,Dog,Owner_180,Surgery,624,False,31,2025-02-06,Referred by Vet,Ear Infection,Preventative Care,3,1872
PET0862,Bird,Owner_67,Dental Cleaning,913,True,30,2025-03-15,Walk-in,Parvovirus,Chronic Disease,3,2739
PET0249,Bird,Owner_152,Deworming,792,False,15,2025-02-01,Emergency,Dental Disease,Genetic Disorder,4,3168
PET0191,Rabbit,Owner_28,Surgery,290,False,15,2025-01-22,Online Booking,Skin Infection,Infectious Disease,2,580
PET0449,Rabbit,Owner_198,Neutering,613,False,57,2025-01-10,Referred by Vet,Arthritis,Behavioral Issue,3,1839
PET0422,Rabbit,Owner_145,Vaccination,145,True,13,2025-02-09,Emergency,Obesity,Trauma,3,435
PET0279,Cat,Owner_101,Deworming,949,False,39,2025-03-20,Referred by Vet,Parvovirus,Chronic Disease,5,4745
PET0250,Dog,Owner_195,Checkup,783,False,20,2025-02-13,Referred by Vet,Arthritis,Trauma,5,3915
PET0924,Dog,Owner_11,Checkup,534,True,39,2025-03-11,Online Booking,Skin Infection,Preventative Care,1,534
PET0444,Cat,Owner_88,Dental Cleaning,456,True,40,2025-02-26,Online Booking,Parvovirus,Genetic Disorder,4,1824
PET0862,Bird,Owner_168,Neutering,280,False,33,2025-01-07,Emergency,Ear Infection,Genetic Disorder,1,280
PET0551,Rabbit,Owner_69,Vaccination,798,True,18,2025-01-17,Walk-in,Skin Infection,Genetic Disorder,5,3990
PET0051,Bird,Owner_154,Surgery,704,False,12,2025-01-04,Emergency,Skin Infection,Genetic Disorder,2,1408
PET1000,Bird,Owner_191,Deworming,220,True,40,2025-03-02,Online Booking,Obesity,Infectious Disease,5,1100
PET0837,Dog,Owner_80,Deworming,590,False,49,2025-03-28,Referred by Vet,Dental Disease,Trauma,4,2360
PET0969,Bird,Owner_155,Surgery,85,False,46,2025-01-07,Emergency,Obesity,Behavioral Issue,5,425
PET0927,Dog,Owner_6,Checkup,574,True,45,2025-01-14,Emergency,Skin Infection,Genetic Disorder,4,2296
PET0849,Rabbit,Owner_55,Dental Cleaning,209,False,33,2025-02-19,Online Booking,Arthritis,Behavioral Issue,4,836
PET0167,Rabbit,Owner_199,Neutering,888,True,40,2025-01-07,Walk-in,Parvovirus,Preventative Care,4,3552
PET0486,Cat,Owner_99,Vaccination,748,False,15,2025-01-12,Emergency,Skin Infection,Infectious Disease,4,2992
PET0214,Cat,Owner_72,Checkup,292,False,11,2025-02-24,Referred by Vet,Obesity,Genetic Disorder,4,1168
PET0402,Cat,Owner_189,Checkup,135,True,29,2025-02-20,Referred by Vet,Skin Infection,Chronic Disease,2,270
PET0059,Cat,Owner_87,Vaccination,845,False,37,2025-01-23,Online Booking,Arthritis,Trauma,1,845
PET0379,Dog,Owner_136,Deworming,627,True,20,2025-03-18,Referred by Vet,Parvovirus,Trauma,3,1881
PET0986,Rabbit,Owner_133,Surgery,731,True,13,2025-03-17,Walk-in,Obesity,Trauma,1,731
PET0266,Dog,Owner_18,Surgery,606,False,24,2025-03-22,Walk-in,Skin Infection,Preventative Care,4,2424
PET0785,Rabbit,Owner_124,Vaccination,623,True,15,2025-03-30,Emergency,Dental Disease,Infectious Disease,2,1246
PET0456,Bird,Owner_160,Dental Cleaning,695,False,58,2025-03-31,Emergency,Obesity,Infectious Disease,5,3475
PET0424,Cat,Owner_143,Checkup,845,True,39,2025-02-27,Walk-in,Skin Infection,Trauma,2,1690
PET0958,Rabbit,Owner_17,Dental Cleaning,77,False,47,2025-03-20,Online Booking,Skin Infection,Infectious Disease,4,308
PET0996,Bird,Owner_31,Deworming,669,True,11,2025-02-15,Referred by Vet,Skin Infection,Chronic Disease,2,1338
PET0556,Bird,Owner_143,Surgery,605,True,24,2025-02-09,Walk-in,Ear Infection,Infectious Disease,2,1210
PET0719,Dog,Owner_127,Neutering,389,False,20,2025-02-12,Emergency,Obesity,Preventative Care,4,1556
PET0155,Dog,Owner_148,Neutering,847,True,17,2025-01-26,Referred by Vet,Skin Infection,Genetic Disorder,2,1694
PET0297,Dog,Owner_64,Neutering,380,True,35,2025-03-27,Emergency,Parvovirus,Trauma,3,1140
PET0969,Rabbit,Owner_22,Dental Cleaning,689,True,54,2025-03-10,Walk-in,Parvovirus,Behavioral Issue,3,2067
PET0580,Bird,Owner_2,Neutering,555,False,53,2025-01-11,Emergency,Parvovirus,Behavioral Issue,2,1110
PET0543,Rabbit,Owner_62,Checkup,397,True,14,2025-03-01,Walk-in,Obesity,Behavioral Issue,5,1985
PET0748,Dog,Owner_72,Checkup,522,False,15,2025-03-14,Referred by Vet,Ear Infection,Trauma,4,2088
PET0058,Bird,Owner_54,Neutering,280,True,35,2025-01-17,Emergency,Parvovirus,Trauma,3,840
PET0585,Cat,Owner_27,Vaccination,239,True,13,2025-01-12,Online Booking,Dental Disease,Preventative Care,5,1195
PET0503,Bird,Owner_38,Surgery,274,True,28,2025-03-31,Online Booking,Ear Infection,Preventative Care,2,548
PET0853,Bird,Owner_90,Surgery,434,False,29,2025-03-01,Referred by Vet,Parvovirus,Trauma,5,2170
PET0158,Cat,Owner_111,Deworming,426,True,42,2025-01-13,Walk-in,Parvovirus,Infectious Disease,1,426
PET0961,Bird,Owner_82,Neutering,332,True,29,2025-02-28,Online Booking,Obesity,Behavioral Issue,3,996
PET0081,Rabbit,Owner_6,Surgery,682,True,58,2025-02-09,Referred by Vet,Arthritis,Trauma,2,1364
